MeSH Headings	records	% of 112
HUMANS	77	68.750
PROPAGANDA	64	57.143
HEALTH EDUCATION	24	21.429
COMMUNICATION	11	9.821
ADOLESCENT	10	8.929
ATTITUDE	9	8.036
FEMALE	9	8.036
USSR	9	8.036
ADVERTISING AS TOPIC	7	6.250
MALE	7	6.250
NEOPLASMS	7	6.250
SMOKING	7	6.250
CHILD	6	5.357
HEALTH	6	5.357
PUBLIC HEALTH	6	5.357
STATE MEDICINE	6	5.357
SWEDEN	6	5.357
ADULT	5	4.464
UNITED STATES	5	4.464
ARTERIOSCLEROSIS	4	3.571
COMMUNICABLE DISEASE CONTROL	4	3.571
COMMUNISM	4	3.571
DRUG INDUSTRY	4	3.571
FAMILY PLANNING SERVICES	4	3.571
FEEDING BEHAVIOR	4	3.571
HISTORY 20TH CENTURY	4	3.571
HYGIENE	4	3.571
LEARNING	4	3.571
NUTRITIONAL PHYSIOLOGICAL PHENOMENA	4	3.571
PHYSICIANS	4	3.571
PUBLIC RELATIONS	4	3.571
STATISTICS AS TOPIC	4	3.571
ASIA	3	2.679
BEHAVIOR	3	2.679
BRAZIL	3	2.679
COLORING AGENTS	3	2.679
DIET	3	2.679
ECONOMICS	3	2.679
FRANCE	3	2.679
HEALTH EDUCATION DENTAL	3	2.679
INTERPERSONAL RELATIONS	3	2.679
KNOWLEDGE	3	2.679
LIGHT	3	2.679
LUNG NEOPLASMS	3	2.679
MEDICINE	3	2.679
MEMORY	3	2.679
NURSING	3	2.679
POLAND	3	2.679
POLITICS	3	2.679
SCHOOL HEALTH SERVICES	3	2.679
SUBSTANCE RELATED DISORDERS	3	2.679
TUBERCULOSIS	3	2.679
ANXIETY	2	1.786
ASIA SOUTHEASTERN	2	1.786
CONGRESSES AS TOPIC	2	1.786
CONTRACEPTION	2	1.786
DENTAL CARIES	2	1.786
DEVELOPING COUNTRIES	2	1.786
EDUCATION	2	1.786
ENVIRONMENT	2	1.786
FEAR	2	1.786
GUILT	2	1.786
HEALTH SURVEYS	2	1.786
INCOME	2	1.786
INDIA	2	1.786
INTRAUTERINE DEVICES	2	1.786
ITALY	2	1.786
JEWS	2	1.786
LEGISLATION MEDICAL	2	1.786
LEGISLATION PHARMACY	2	1.786
MENTAL PROCESSES	2	1.786
MIDDLE AGED	2	1.786
MOTIVATION	2	1.786
ORAL HEALTH	2	1.786
PERSONALITY	2	1.786
PSYCHOLOGICAL TESTS	2	1.786
PUBLIC HEALTH ADMINISTRATION	2	1.786
RELIGION	2	1.786
SENSORY DEPRIVATION	2	1.786
SEXUAL BEHAVIOR	2	1.786
SEXUALLY TRANSMITTED DISEASES	2	1.786
SOCIAL MEDICINE	2	1.786
SPAIN	2	1.786
WAR CRIMES	2	1.786
ACADEMIES AND INSTITUTES	1	0.893
ACCIDENTS OCCUPATIONAL	1	0.893
AFRICA	1	0.893
AGED	1	0.893
AGING	1	0.893
AIR POLLUTION	1	0.893
AIRCRAFT	1	0.893
ANEMIA	1	0.893
ANESTHESIA	1	0.893
ANESTHESIOLOGY	1	0.893
ANIMALS	1	0.893
ANTITUBERCULAR AGENTS	1	0.893
AROUSAL	1	0.893
AUTHORITARIANISM	1	0.893
AUTOANALYSIS	1	0.893
BIOLOGICAL PRODUCTS	1	0.893
BIOLOGICAL WARFARE	1	0.893
BIOMEDICAL RESEARCH	1	0.893
BLOOD BANKS	1	0.893
BLOOD CELL COUNT	1	0.893
BLOOD CHEMICAL ANALYSIS	1	0.893
BLOOD DONORS	1	0.893
BLOOD TRANSFUSION	1	0.893
