MeSH Headings	records	% of 75
HUMANS	61	81.333
PROPAGANDA	57	76.000
BIOMEDICAL RESEARCH	9	12.000
PUBLIC HEALTH	8	10.667
NEOPLASMS	7	9.333
DRUG INDUSTRY	5	6.667
HEALTH EDUCATION	5	6.667
HEALTH	4	5.333
BREAST NEOPLASMS	3	4.000
MEDICINE	3	4.000
ORGANIZATIONS	3	4.000
SEXUALLY TRANSMITTED DISEASES	3	4.000
TUBERCULOSIS	3	4.000
ACCIDENTS	2	2.667
ANTIBIOTIC PROPHYLAXIS	2	2.667
ANTITUBERCULAR AGENTS	2	2.667
BLOOD TRANSFUSION	2	2.667
COMMUNICATION	2	2.667
DATA COLLECTION	2	2.667
DISEASE	2	2.667
EARLY DIAGNOSIS	2	2.667
FRANCE	2	2.667
MENTAL RECALL	2	2.667
MINNESOTA	2	2.667
NATIONAL HEALTH PROGRAMS	2	2.667
NEWSPAPERS AS TOPIC	2	2.667
PHARMACY	2	2.667
PSYCHOLOGICAL TESTS	2	2.667
PSYCHOLOGICAL WARFARE	2	2.667
SANITATION	2	2.667
VACCINATION	2	2.667
WATER SUPPLY	2	2.667
ACCIDENT PREVENTION	1	1.333
ACCIDENTS TRAFFIC	1	1.333
ADAPTATION PSYCHOLOGICAL	1	1.333
ADVERTISING AS TOPIC	1	1.333
ALCOHOLISM	1	1.333
ART	1	1.333
ATTITUDE	1	1.333
BEVERAGES	1	1.333
BIOMETRY	1	1.333
BLOOD BANKS	1	1.333
BLOOD GLUCOSE	1	1.333
BLOOD PRESERVATION	1	1.333
CARDIOVASCULAR DISEASES	1	1.333
CHARITIES	1	1.333
CHILD	1	1.333
CHILD PRESCHOOL	1	1.333
CHOLERA	1	1.333
COMMERCE	1	1.333
COMMUNICATIONS MEDIA	1	1.333
COMMUNISM	1	1.333
CONDITIONING CLASSICAL	1	1.333
CONTRACEPTION	1	1.333
CORNEA	1	1.333
CORNEAL DISEASES	1	1.333
CUBA	1	1.333
DEVELOPED COUNTRIES	1	1.333
DIABETES MELLITUS	1	1.333
DIET	1	1.333
DIPHTHERIA	1	1.333
DRINKING WATER	1	1.333
DRIVE	1	1.333
EDUCATION	1	1.333
EDUCATION MEDICAL	1	1.333
ENCEPHALOMYELITIS	1	1.333
ETHICS MEDICAL	1	1.333
EUROPE	1	1.333
EXECUTIVE FUNCTION	1	1.333
FAMILY PLANNING SERVICES	1	1.333
FASTING	1	1.333
FEAR	1	1.333
FOOD	1	1.333
HEALTH EXPENDITURES	1	1.333
HEALTH PERSONNEL	1	1.333
HEALTH SERVICES NEEDS AND DEMAND	1	1.333
HEART DISEASES	1	1.333
HEMATOLOGIC TESTS	1	1.333
HOSPITALS	1	1.333
HOSPITALS GENERAL	1	1.333
HOSPITALS MILITARY	1	1.333
HOUSEHOLD ARTICLES	1	1.333
INDIA	1	1.333
INDONESIA	1	1.333
INDUSTRY	1	1.333
INFANT	1	1.333
INFANT NUTRITION DISORDERS	1	1.333
INTERNATIONALITY	1	1.333
JURISPRUDENCE	1	1.333
KNOWLEDGE	1	1.333
KWASHIORKOR	1	1.333
LEARNING	1	1.333
MALE	1	1.333
MARKETING	1	1.333
MENTAL HEALTH	1	1.333
MILITARY MEDICINE	1	1.333
MILITARY PERSONNEL	1	1.333
MORALS	1	1.333
MOTION PICTURES	1	1.333
NAVAL MEDICINE	1	1.333
NIACIN	1	1.333
NICOTINIC ACIDS	1	1.333
NUTRITIONAL PHYSIOLOGICAL PHENOMENA	1	1.333
NUTRITIONAL SCIENCES	1	1.333
NUTRITIONAL STATUS	1	1.333
OCCUPATIONAL DISEASES	1	1.333
OCCUPATIONS	1	1.333
PAMPHLETS	1	1.333
PHARMACEUTICAL PREPARATIONS	1	1.333
PHARMACEUTICAL SERVICES	1	1.333
PHARMACIES	1	1.333
PHYSICIANS	1	1.333
PHYSICIANS FAMILY	1	1.333
POLITICS	1	1.333
PRESERVATION BIOLOGICAL	1	1.333
PSYCHOLOGICAL TECHNIQUES	1	1.333
PSYCHOLOGY	1	1.333
PUBLIC RELATIONS	1	1.333
PUBLICATIONS	1	1.333
QUACKERY	1	1.333
RABIES	1	1.333
RABIES VACCINES	1	1.333
RADIUM	1	1.333
REFLEX	1	1.333
RESEARCH	1	1.333
RHEUMATIC DISEASES	1	1.333
RURAL HEALTH	1	1.333
RURAL POPULATION	1	1.333
SCIENCE	1	1.333
SELF EXAMINATION	1	1.333
SENSATION	1	1.333
SEX	1	1.333
SEX EDUCATION	1	1.333
SEXUAL BEHAVIOR	1	1.333
SOCIAL WORK	1	1.333
SOCIETIES	1	1.333
SOIL	1	1.333
SPAIN	1	1.333
STATISTICS AS TOPIC	1	1.333
SURVEYS AND QUESTIONNAIRES	1	1.333
SYPHILIS	1	1.333
TEA	1	1.333
TEMPERANCE	1	1.333
TUBERCULOSIS SOCIETIES	1	1.333
TUNICA MEDIA	1	1.333
UNITED STATES	1	1.333
VITAL STATISTICS	1	1.333
VITAMIN A	1	1.333
VITAMIN A DEFICIENCY	1	1.333
WAKEFULNESS	1	1.333
WEAPONS	1	1.333
XEROPHTHALMIA	1	1.333
(0 MeSH Headings value(s) outside display options.)
(2 records (2.667%) do not contain data in the field being analyzed.)
