MeSH Headings	records	% of 737
HUMANS	609	82.632
FEMALE	252	34.193
MALE	193	26.187
ADULT	163	22.117
PROPAGANDA	147	19.946
UNITED STATES	106	14.383
ADOLESCENT	100	13.569
HEALTH KNOWLEDGE ATTITUDES PRACTICE	96	13.026
MIDDLE AGED	85	11.533
HISTORY 20TH CENTURY	84	11.398
CHILD	74	10.041
SURVEYS AND QUESTIONNAIRES	64	8.684
MENTAL RECALL	48	6.513
COMMUNICATION	47	6.377
INTERNET	47	6.377
HEALTH EDUCATION	45	6.106
MASS MEDIA	44	5.970
RISK FACTORS	44	5.970
AGED	43	5.834
ANIMALS	40	5.427
POLITICS	37	5.020
TOBACCO INDUSTRY	37	5.020
ATTITUDE TO HEALTH	35	4.749
SUGGESTION	35	4.749
SMOKING	34	4.613
CHILD PRESCHOOL	33	4.478
HIV INFECTIONS	32	4.342
PREGNANCY	32	4.342
PATIENT EDUCATION AS TOPIC	31	4.206
HEALTH PROMOTION	30	4.071
INFORMATION DISSEMINATION	30	4.071
RISK ASSESSMENT	29	3.935
ATTITUDE OF HEALTH PERSONNEL	28	3.799
PUBLIC HEALTH	27	3.664
GERMANY	26	3.528
MEMORY	26	3.528
INFANT	25	3.392
PREJUDICE	25	3.392
PUBLIC OPINION	25	3.392
ADVERTISING AS TOPIC	24	3.256
FOCUS GROUPS	24	3.256
TIME FACTORS	24	3.256
HEALTH POLICY	23	3.121
PUBLIC POLICY	23	3.121
INFANT NEWBORN	22	2.985
CULTURE	20	2.714
INTERVIEWS AS TOPIC	20	2.714
RETENTION PSYCHOLOGY	20	2.714
PERIODICALS AS TOPIC	19	2.578
AGE FACTORS	18	2.442
EVIDENCE BASED MEDICINE	18	2.442
INFORMATION SERVICES	18	2.442
STEREOTYPING	18	2.442
ACQUIRED IMMUNODEFICIENCY SYNDROME	17	2.307
RECOGNITION PSYCHOLOGY	17	2.307
SOCIOECONOMIC FACTORS	17	2.307
STUDENTS	17	2.307
CROSS SECTIONAL STUDIES	16	2.171
HEALTH SERVICES ACCESSIBILITY	16	2.171
TREATMENT OUTCOME	16	2.171
YOUNG ADULT	16	2.171
AFRICAN AMERICANS	15	2.035
BIOMEDICAL RESEARCH	15	2.035
DATA COLLECTION	15	2.035
MOTION PICTURES	15	2.035
