MeSH Headings	records	% of 423
HUMANS	272	64.303
PROPAGANDA	136	32.151
FEMALE	100	23.641
HEALTH EDUCATION	97	22.931
DEVELOPING COUNTRIES	90	21.277
USSR	81	19.149
ADOLESCENT	74	17.494
MALE	70	16.548
ADULT	65	15.366
ASIA	65	15.366
COMMUNICATION	57	13.475
FAMILY PLANNING SERVICES	53	12.530
CHINA	52	12.293
FAR EAST	50	11.820
DEMOGRAPHY	49	11.584
PUBLIC POLICY	47	11.111
HEALTH PLANNING	45	10.638
POPULATION	44	10.402
UNITED STATES	43	10.165
ALCOHOLISM	37	8.747
ORGANIZATION AND ADMINISTRATION	36	8.511
POLITICS	36	8.511
POPULATION DYNAMICS	35	8.274
PREGNANCY	35	8.274
ECONOMICS	32	7.565
POPULATION CHARACTERISTICS	31	7.329
CHILD	30	7.092
HEALTH PROMOTION	28	6.619
SEXUAL BEHAVIOR	26	6.147
BEHAVIOR	25	5.910
EDUCATION	25	5.910
INFORMATION SERVICES	25	5.910
MIDDLE AGED	24	5.674
ACQUIRED IMMUNODEFICIENCY SYNDROME	21	4.965
HEALTH	21	4.965
RESEARCH	21	4.965
LIFE STYLE	20	4.728
SEX EDUCATION	20	4.728
ATTITUDE TO HEALTH	19	4.492
FAMILY PLANNING POLICY	19	4.492
DELIVERY OF HEALTH CARE	18	4.255
SOCIOECONOMIC FACTORS	18	4.255
CONTRACEPTION	17	4.019
POPULATION CONTROL	17	4.019
SMOKING PREVENTION	17	4.019
AGED	15	3.546
ATTITUDE	15	3.546
BREAST FEEDING	15	3.546
DEVELOPED COUNTRIES	15	3.546
PSYCHOLOGY	15	3.546
RUSSIA	15	3.546
AFRICA	14	3.310
HEALTH KNOWLEDGE ATTITUDES PRACTICE	14	3.310
HISTORY 20TH CENTURY	14	3.310
INFANT	14	3.310
POPULATION GROWTH	14	3.310
AGE FACTORS	13	3.073
AMERICAS	13	3.073
FAMILY CHARACTERISTICS	13	3.073
FERTILITY	13	3.073
MASS MEDIA	13	3.073
NUTRITIONAL PHYSIOLOGICAL PHENOMENA	13	3.073
ANIMALS	12	2.837
MARKETING OF HEALTH SERVICES	12	2.837
PUBLIC OPINION	12	2.837
RISK	12	2.837
AFRICA SOUTH OF THE SAHARA	11	2.600
ATTITUDE OF HEALTH PERSONNEL	11	2.600
BIRTH RATE	11	2.600
CHILD PRESCHOOL	11	2.600
DISEASE	11	2.600
NORTH AMERICA	11	2.600
POLITICAL SYSTEMS	11	2.600
RURAL POPULATION	11	2.600
SURVEYS AND QUESTIONNAIRES	11	2.600
EVALUATION STUDIES AS TOPIC	10	2.364
INFANT NEWBORN	10	2.364
LEGISLATION AS TOPIC	10	2.364
MILITARY PERSONNEL	10	2.364
MOTIVATION	10	2.364
NATIONAL HEALTH PROGRAMS	10	2.364
SMOKING	10	2.364
ALCOHOLIC INTOXICATION	9	2.128
CONGRESSES AS TOPIC	9	2.128
EUROPE	9	2.128
INDIA	9	2.128
SOCIAL SCIENCES	9	2.128
URBAN POPULATION	9	2.128
VIRUS DISEASES	9	2.128
ABORTION LEGAL	8	1.891
AFRICA WESTERN	8	1.891
CONTRACEPTIVES ORAL	8	1.891
CULTURE	8	1.891
HEALTH SERVICES	8	1.891
