MeSH Headings	records	% of 228
HUMANS	138	60.526
PROPAGANDA	90	39.474
HEALTH EDUCATION	65	28.509
FEMALE	44	19.298
MALE	36	15.789
FAMILY PLANNING SERVICES	32	14.035
ADULT	30	13.158
ADOLESCENT	24	10.526
USSR	23	10.088
UNITED STATES	19	8.333
DEVELOPING COUNTRIES	17	7.456
ALCOHOLISM	16	7.018
COMMUNICATION	16	7.018
CHILD	15	6.579
MIDDLE AGED	15	6.579
SMOKING	15	6.579
SMOKING PREVENTION	13	5.702
AGED	12	5.263
ASIA	12	5.263
HISTORY 20TH CENTURY	12	5.263
PREGNANCY	12	5.263
ADVERTISING AS TOPIC	11	4.825
ATTITUDE TO HEALTH	11	4.825
CHINA	10	4.386
CONTRACEPTION	10	4.386
ANIMALS	9	3.947
DEMOGRAPHY	9	3.947
HEALTH PLANNING	9	3.947
MOTIVATION	9	3.947
SEXUALLY TRANSMITTED DISEASES	9	3.947
ABORTION INDUCED	8	3.509
AGE FACTORS	8	3.509
DRUG AND NARCOTIC CONTROL	8	3.509
HISTORY 19TH CENTURY	8	3.509
INDIA	8	3.509
RESEARCH	8	3.509
TELEVISION	8	3.509
BEHAVIOR	7	3.070
COMMUNISM	7	3.070
ECONOMICS	7	3.070
POLITICS	7	3.070
POPULATION	7	3.070
POPULATION CONTROL	7	3.070
PUBLIC HEALTH	7	3.070
PUBLIC OPINION	7	3.070
PUBLIC POLICY	7	3.070
SEX EDUCATION	7	3.070
UNITED KINGDOM	7	3.070
ATTITUDE	6	2.632
DRUG INDUSTRY	6	2.632
EDUCATION	6	2.632
FAR EAST	6	2.632
INTERNATIONAL COOPERATION	6	2.632
LEGISLATION AS TOPIC	6	2.632
MARRIAGE	6	2.632
MENTAL DISORDERS	6	2.632
OCCUPATIONAL MEDICINE	6	2.632
POPULATION CHARACTERISTICS	6	2.632
RUSSIA	6	2.632
SOCIOECONOMIC FACTORS	6	2.632
ASIA SOUTHEASTERN	5	2.193
CANNABIS	5	2.193
CONTRACEPTIVES ORAL	5	2.193
DISEASE	5	2.193
EMOTIONS	5	2.193
FRANCE	5	2.193
HEALTH	5	2.193
HEALTH EDUCATION DENTAL	5	2.193
HEALTH KNOWLEDGE ATTITUDES PRACTICE	5	2.193
LEGISLATION DRUG	5	2.193
MASS MEDIA	5	2.193
MILITARY MEDICINE	5	2.193
