MeSH Headings	records	% of 596
HUMANS	382	64.094
FEMALE	183	30.705
MALE	121	20.302
DEVELOPING COUNTRIES	113	18.960
ADOLESCENT	112	18.792
FAMILY PLANNING SERVICES	100	16.779
ADULT	99	16.611
COMMUNICATION	96	16.107
HEALTH KNOWLEDGE ATTITUDES PRACTICE	91	15.268
ACQUIRED IMMUNODEFICIENCY SYNDROME	89	14.933
HEALTH EDUCATION	80	13.423
PROPAGANDA	72	12.081
UNITED STATES	70	11.745
BEHAVIOR	67	11.242
CONTRACEPTION	66	11.074
DEMOGRAPHY	65	10.906
POPULATION	64	10.738
HIV INFECTIONS	63	10.570
DISEASE	58	9.732
ECONOMICS	54	9.060
EDUCATION	54	9.060
MIDDLE AGED	54	9.060
POPULATION CHARACTERISTICS	47	7.886
SEXUAL BEHAVIOR	47	7.886
ASIA	46	7.718
PSYCHOLOGY	46	7.718
RESEARCH	46	7.718
SEX EDUCATION	45	7.550
VIRUS DISEASES	45	7.550
ORGANIZATION AND ADMINISTRATION	44	7.383
RISK FACTORS	44	7.383
AFRICA	43	7.215
CHILD	43	7.215
EVALUATION STUDIES AS TOPIC	42	7.047
HEALTH PLANNING	42	7.047
HISTORY 20TH CENTURY	41	6.879
AMERICAS	38	6.376
SURVEYS AND QUESTIONNAIRES	38	6.376
AGE FACTORS	37	6.208
HEALTH	37	6.208
PREGNANCY	37	6.208
ATTITUDE TO HEALTH	36	6.040
DEVELOPED COUNTRIES	36	6.040
POLITICS	36	6.040
PUBLIC OPINION	34	5.705
ATTITUDE	33	5.537
AFRICA SOUTH OF THE SAHARA	32	5.369
AGED	30	5.034
CONTRACEPTION BEHAVIOR	30	5.034
DELIVERY OF HEALTH CARE	30	5.034
SOCIOECONOMIC FACTORS	29	4.866
ANIMALS	28	4.698
CONDOMS	28	4.698
NORTH AMERICA	28	4.698
POPULATION DYNAMICS	28	4.698
ABORTION INDUCED	26	4.362
CULTURE	26	4.362
DATA COLLECTION	26	4.362
MASS MEDIA	25	4.195
PATIENT EDUCATION AS TOPIC	23	3.859
CONTRACEPTIVES ORAL	22	3.691
INDIA	21	3.523
SEXUALLY TRANSMITTED DISEASES	21	3.523
CHINA	20	3.356
HEALTH PROMOTION	19	3.188
HEALTH SERVICES NEEDS AND DEMAND	19	3.188
INFORMATION SERVICES	19	3.188
ORGANIZATIONS	19	3.188
ATTITUDE OF HEALTH PERSONNEL	18	3.020
ETHNIC GROUPS	17	2.852
KNOWLEDGE	17	2.852
INFANT NEWBORN	16	2.685
INFECTION	16	2.685
PREJUDICE	16	2.685
PROGRAM EVALUATION	16	2.685
RURAL POPULATION	16	2.685
URBAN POPULATION	16	2.685
ADVERTISING AS TOPIC	15	2.517
LATIN AMERICA	15	2.517
PATIENT ACCEPTANCE OF HEALTH CARE	15	2.517
